,Code,nt,ns,nr,nC,nC',nHeNe,nD,nd,ne,nF,nF',ng,nh,ni,Vd,Ve,nFC,nF'c',A0,A1,A2,A3,A4,A5,PdC,Ped,PgF,P'dC',P'ed,P'gF',dPFe,dPgF,RC,RA,DW,DA,alpha1,alpha2,HK,FA,Density,Frequency,Price
ZF1,648338,,,1.63902,1.6421,1.64297,1.6438,1.64753,1.64769,1.65223,1.66124,1.66239,1.67251,1.68236,1.70035,33.84,33.59,0.019142,0.019419,2.64E+00,-8.84E-03,2.56E-02,9.65E-04,-1.83E-05,5.56E-06,0.2923,0.2368,0.5887,0.243,0.2334,0.521,-0.0001,0.0006,1,3,1,2,89,104,410,,3.84,MA,11
ZF2,673322,1.65206,1.65662,1.66326,1.66661,1.66756,1.66846,1.67252,1.6727,1.67765,1.68752,1.68878,1.69985,1.71066,1.73049,32.17,31.93,0.020909,0.021221,2.71E+00,-7.94E-03,2.92E-02,8.85E-04,6.69E-07,5.66E-06,0.2914,0.2367,0.5896,0.2423,0.2332,0.5215,0,-0.0014,1,3,1,2,85,95,400,95,4.08,MA,11
ZF3,717295,1.69375,1.69892,1.70649,1.71032,1.71142,1.71245,1.71715,1.71736,1.72311,1.73464,1.73612,1.74915,1.76195,1.78568,29.5,29.27,0.024317,0.024703,2.85E+00,-1.05E-02,3.09E-02,2.14E-03,-1.31E-04,1.42E-05,0.2894,0.2364,0.5967,0.2405,0.2327,0.5275,0.0009,0.0012,1,2,1,2,83,95,390,107,4.46,A,15
ZF4,728283,1.70324,1.70882,1.71679,1.72082,1.72198,1.72307,1.72803,1.72825,1.73432,1.74654,1.74811,1.76207,1.77601,,28.32,28.1,0.025716,0.026133,2.89E+00,-1.79E-02,2.30E-02,5.64E-03,-6.98E-04,5.25E-05,0.289,0.2361,0.6038,0.2401,0.2323,0.5341,0.0008,0.0064,3,3,1,6,96,111,366,135,4.51,A,15
ZF5,740282,,,1.72831,1.73243,1.73361,1.73472,1.73977,1.74,1.74619,1.75863,1.76023,1.77439,1.78837,1.81447,28.24,28.03,0.0262,0.026623,2.92E+00,-1.04E-02,3.39E-02,2.27E-03,-1.36E-04,1.65E-05,0.2889,0.2363,0.6015,0.2401,0.2325,0.5319,0.0007,0.0039,1,2,1,2,86,98,390,,4.65,MA,15
ZF6,755275,1.72888,1.73457,1.743,1.74729,1.74852,1.74968,1.75496,1.7552,1.76168,1.77472,1.7764,1.7912,1.80585,1.8332,27.53,27.32,0.027432,0.027881,2.96E+00,-1.04E-02,3.56E-02,2.46E-03,-1.50E-04,1.78E-05,0.2884,0.2363,0.6008,0.2369,0.2325,0.5308,0.0008,0.002,1,3,1,2,80,94,380,,4.78,MA,15
ZF7,806254,1.7762,1.78261,1.79223,1.79716,1.79857,1.79991,1.806,1.80627,1.81377,1.82894,1.83089,1.84832,1.86567,1.89857,25.37,25.18,0.03178,0.032313,3.12E+00,-1.06E-02,4.22E-02,2.89E-03,-1.65E-04,2.33E-05,0.2867,0.236,0.6098,0.2383,0.2321,0.5394,0.0017,0.0073,1,3,1,5,79,90,361,143,5.19,A,16
ZF7L,805255,1.77524,1.78162,1.7912,1.79611,1.79752,1.79885,1.80491,1.80518,1.81265,1.82773,1.82968,1.84701,1.86427,1.89697,25.46,25.27,0.03162,0.032161,3.12E+00,-9.78E-03,4.32E-02,2.52E-03,-1.17E-04,2.08E-05,0.287,0.236,0.6097,0.2384,0.232,0.5389,0.0015,0.0074,1,3,1,4,79,91,330,143,5.19,MA,16
ZF7LGT,805255,1.77524,1.78162,1.7912,1.79611,1.79752,1.79885,1.80491,1.80518,1.81265,1.82773,1.82968,1.84701,1.86427,1.89697,25.46,25.27,0.03162,0.032161,3.12E+00,-9.78E-03,4.32E-02,2.52E-03,-1.17E-04,2.08E-05,0.287,0.236,0.6097,0.2384,0.232,0.5389,0.0015,0.0074,1,3,1,4,79,91,330,143,5.19,MA,32
ZF8,654337,,,1.64565,1.64878,1.64967,1.6505,1.65429,1.65446,1.65907,1.66822,1.66939,1.67966,1.68965,1.70788,33.65,33.41,0.019447,0.019728,2.66E+00,-9.11E-03,2.58E-02,1.12E-03,-4.11E-05,6.92E-06,0.2921,0.2371,0.5883,0.2428,0.2337,0.5206,-0.0007,-0.0001,1,2,1,2,76,89,379,,3.91,B,30
ZF10,689312,1.66724,1.67202,1.67899,1.6825,1.68351,1.68445,1.68874,1.68893,1.69416,1.7046,1.70594,1.71769,1.72917,1.75034,31.18,30.95,0.022098,0.022432,2.76E+00,-9.20E-03,2.93E-02,1.49E-03,-7.05E-05,9.95E-06,0.2909,0.2365,0.5924,0.2418,0.233,0.5238,0,-0.0002,1,3,1,2,76,92,376,87,4.21,A,22
ZF11,699301,,,1.68853,1.69221,1.69326,1.69425,1.69875,1.69895,1.70445,1.71546,1.71687,1.72939,1.74174,1.76486,30.07,29.84,0.023246,0.023611,2.79E+00,-1.06E-02,2.91E-02,2.13E-03,-1.58E-04,1.71E-05,0.2899,0.2366,0.5993,0.2409,0.2329,0.5303,0.0006,0.0048,1,1,1,1,73,88,405,115,4.06,A,22
ZF12,762266,1.73454,1.74045,1.74912,1.75357,1.75485,1.75606,1.76158,1.76182,1.76859,1.78226,1.78403,1.79968,1.81534,,26.55,26.34,0.028692,0.029178,3.00E+00,-1.66E-02,2.57E-02,6.70E-03,-8.37E-04,6.26E-05,0.2875,0.236,0.6071,0.2389,0.232,0.5363,0.0014,0.0066,1,3,1,3,75,89,378,133,4.64,B,30
ZF13,785258,1.75585,1.76206,1.77125,1.77598,1.77734,1.77862,1.78446,1.78472,1.7919,1.80645,1.80834,1.82503,1.8417,,25.76,25.55,0.030468,0.030998,3.06E+00,-1.46E-02,3.28E-02,5.24E-03,-5.61E-04,4.64E-05,0.2867,0.2357,0.6098,0.238,0.2317,0.5384,0.0022,0.008,1,3,1,3,78,96,390,152,4.87,MA,24
ZF50,741278,1.71513,1.72071,1.72889,1.73307,1.73427,1.7354,1.74054,1.74077,1.74706,1.75975,1.76139,1.77585,1.79021,,27.76,27.55,0.026681,0.027118,2.92E+00,-1.30E-02,2.95E-02,4.13E-03,-4.47E-04,3.71E-05,0.2886,0.2358,0.6035,0.2397,0.232,0.5333,0.0012,0.005,1,3,1,2,71,87,375,131,4.46,A,32
ZF51,785261,1.75614,1.76227,1.77137,1.77605,1.77739,1.77866,1.78444,1.7847,1.7918,1.80614,1.808,1.82439,1.84067,,26.08,25.87,0.030092,0.030602,3.06E+00,-1.39E-02,3.30E-02,5.07E-03,-5.39E-04,4.36E-05,0.2875,0.2359,0.6065,0.2388,0.2319,0.5356,0.0013,0.0052,1,3,1,3,82,102,354,162,4.99,C,32
ZF52,847238,1.8133,1.82034,1.83102,1.83651,1.83808,1.83957,1.84636,1.84666,1.85504,1.87205,1.87425,1.89405,1.91394,1.9521,23.83,23.64,0.035534,0.036165,3.24E+00,-7.80E-03,5.34E-02,1.51E-03,7.22E-05,1.66E-05,0.2857,0.2358,0.6191,0.2372,0.2317,0.5475,0.002,0.014,1,3,1,6,86,99,323,192,5.49,C,41
H-ZF1,648338,1.62849,1.63284,1.63902,1.64209,1.64298,1.6438,1.64752,1.64769,1.65222,1.66124,1.6624,1.67257,1.68257,1.70122,33.84,33.58,0.01914,0.019421,2.64E+00,-9.70E-03,2.56E-02,1.01E-03,-4.25E-05,9.06E-06,0.292,0.2366,0.592,0.2427,0.2331,0.5237,0.0004,0.0038,2,1,2,1,91,117,507,96,2.73,MA,13
H-ZF2,673322,1.65187,1.65655,1.66326,1.66661,1.66756,1.66846,1.67252,1.6727,1.67764,1.68751,1.68879,1.70005,1.71116,1.73203,32.17,31.92,0.02091,0.021227,2.71E+00,-8.77E-03,3.07E-02,2.40E-04,8.93E-05,3.65E-06,0.2912,0.2364,0.5997,0.242,0.2329,0.5305,0.0004,0.0088,1,1,1,1,85,106,552,143,2.9,MA,13
H-ZF3,717295,1.69329,1.69879,1.70649,1.71032,1.71142,1.71245,1.71715,1.71736,1.7231,1.73464,1.73613,1.74928,1.76234,1.78714,29.5,29.27,0.024318,0.024707,2.86E+00,-1.77E-02,2.60E-02,3.44E-03,-3.19E-04,2.68E-05,0.2893,0.2362,0.6019,0.2404,0.2324,0.5321,0.0011,0.0065,1,1,1,1,90,112,520,189,3.06,MA,21
H-ZF4A,728283,1.7032,1.70872,1.71677,1.72082,1.72198,1.72307,1.72803,1.72825,1.73432,1.74656,1.74811,1.76219,1.77623,1.80316,28.32,28.1,0.025716,0.026133,2.88E+00,-1.09E-02,3.48E-02,1.64E-03,-8.15E-05,1.79E-05,0.2889,0.236,0.6078,0.2399,0.2323,0.5388,0.0019,0.0103,1,1,1,1,93,112,524,192,3.05,MA,22
H-ZF4AGT,728283,1.7032,1.70872,1.71677,1.72082,1.72198,1.72307,1.72803,1.72825,1.73432,1.74656,1.74811,1.76219,1.77623,1.80316,28.32,28.1,0.025716,0.026133,2.88E+00,-1.09E-02,3.48E-02,1.64E-03,-8.15E-05,1.79E-05,0.2889,0.236,0.6078,0.2399,0.2323,0.5388,0.0019,0.0103,1,1,1,1,93,112,524,192,3.05,MA,22
H-ZF5,740283,1.71452,1.72014,1.72831,1.73245,1.73363,1.73474,1.73977,1.74,1.74617,1.75861,1.76021,1.77453,1.78884,,28.3,28.07,0.026152,0.026584,2.91E+00,-1.06E-02,3.66E-02,1.35E-03,-3.47E-05,1.59E-05,0.2887,0.2359,0.6087,0.2396,0.2321,0.5387,0.0016,0.0112,1,1,1,1,89,108,563,184,3.16,A,42
H-ZF6,755275,1.72861,1.73446,1.743,1.74729,1.74852,1.74968,1.75496,1.7552,1.76167,1.77472,1.77641,1.79139,1.80641,,27.53,27.31,0.027432,0.027888,2.96E+00,-1.21E-02,3.64E-02,2.13E-03,-1.30E-04,2.14E-05,0.2882,0.236,0.6077,0.2394,0.2321,0.5371,0.0013,0.0089,2,1,1,1,87,104,523,188,3.24,MA,32
H-ZF7LA,805255,1.77506,1.78155,1.79121,1.79611,1.79752,1.79885,1.80491,1.80518,1.81263,1.82774,1.8297,1.8471,1.86458,,25.46,25.25,0.03163,0.03218,3.12E+00,-1.21E-02,4.28E-02,2.50E-03,-1.17E-04,2.28E-05,0.2868,0.2355,0.6121,0.2381,0.2315,0.5407,0.0021,0.0098,1,1,1,1,90,113,513,192,3.35,MA,37
H-ZF7LAGT,805255,1.77506,1.78155,1.79121,1.79611,1.79752,1.79885,1.80491,1.80518,1.81263,1.82774,1.8297,1.8471,1.86458,,25.46,25.25,0.03163,0.03218,3.12E+00,-1.21E-02,4.28E-02,2.50E-03,-1.17E-04,2.28E-05,0.2868,0.2355,0.6121,0.2381,0.2315,0.5407,0.0021,0.0098,1,1,1,1,90,113,513,192,3.35,MA,37
H-ZF10,689312,1.66709,1.67198,1.67899,1.68251,1.68315,1.68445,1.68874,1.68893,1.69416,1.70462,1.70596,1.71786,1.72964,1.75182,31.16,30.92,0.022109,0.02245,2.76E+00,-1.13E-02,2.82E-02,1.75E-03,-1.21E-04,1.55E-05,0.2906,0.2363,0.5989,0.2415,0.2327,0.5299,0.0006,0.0063,1,1,1,1,91,119,527,175,2.92,MA,20
H-ZF11,699301,1.67613,1.68122,1.68853,1.69221,1.69326,1.69425,1.69875,1.69894,1.70444,1.71547,1.71689,1.72947,1.74193,1.7656,30.05,29.81,0.023259,0.023628,2.79E+00,-1.23E-02,2.82E-02,2.34E-03,-1.93E-04,2.03E-05,0.2894,0.2365,0.6019,0.2404,0.2328,0.5324,0.0011,0.0074,2,1,1,1,90,113,521,175,2.95,A,22
H-ZF12,762266,1.73421,1.7403,1.74911,1.75359,1.75487,1.75608,1.76157,1.76182,1.76857,1.78221,1.78399,1.79974,1.81558,,26.61,26.39,0.028631,0.029118,2.99E+00,-1.56E-02,3.26E-02,4.08E-03,-4.24E-04,4.04E-05,0.2873,0.2357,0.6123,0.2386,0.2318,0.5409,0.0019,0.0119,2,1,1,1,84,101,538,155,3.17,A,46
H-ZF13,785257,1.75543,1.76183,1.7712,1.77597,1.77733,1.77861,1.78446,1.78472,1.79191,1.80648,1.80837,1.8253,1.84236,,25.72,25.51,0.03051,0.031042,3.05E+00,-1.23E-02,4.22E-02,1.82E-03,-2.88E-05,1.89E-05,0.2867,0.2356,0.6168,0.238,0.2315,0.5454,0.0023,0.0149,1,1,1,1,86,106,544,187,3.25,MA,38
H-ZF13GT,785257,1.75543,1.76183,1.7712,1.77597,1.77733,1.77861,1.78446,1.78472,1.79191,1.80648,1.80837,1.8253,1.84236,,25.72,25.51,0.03051,0.031042,3.05E+00,-1.23E-02,4.22E-02,1.82E-03,-2.88E-05,1.89E-05,0.2867,0.2356,0.6168,0.238,0.2315,0.5454,0.0023,0.0149,1,1,1,1,86,106,544,187,3.25,MA,38
H-ZF39,667330,1.64667,1.65122,1.65769,1.66093,1.66184,1.66271,1.66663,1.6668,1.67157,1.6811,1.68232,1.69311,1.70372,1.72361,33.05,32.8,0.020173,0.020477,2.70E+00,-1.06E-02,2.63E-02,1.29E-03,-6.76E-05,1.10E-05,0.2911,0.2363,0.595,0.2457,0.2364,0.5346,0.0007,0.0055,2,1,1,1,90,112,531,168,2.92,C,30
H-ZF50,741278,1.71485,1.7206,1.72888,1.73307,1.73427,1.7354,1.74054,1.74077,1.74707,1.75976,1.76139,1.77599,1.79061,,27.76,27.54,0.026685,0.027125,2.92E+00,-1.50E-02,3.00E-02,3.86E-03,-4.21E-04,3.87E-05,0.2886,0.2361,0.6082,0.2396,0.2323,0.5382,0.0012,0.0098,1,1,1,1,95,113,528,178,3.1,A,33
H-ZF52,847238,1.81306,1.82033,1.83101,1.83649,1.83807,1.83956,1.84636,1.84666,1.85505,1.87209,1.8743,1.89409,1.91412,,23.78,23.6,0.035597,0.036234,3.27E+00,-2.05E-02,3.52E-02,7.70E-03,-9.08E-04,7.53E-05,0.2857,0.2356,0.618,0.2372,0.2314,0.5461,0.0022,0.0128,2,1,1,1,88,108,555,185,3.51,A,40
H-ZF52GT,847238,1.81306,1.82033,1.83101,1.83649,1.83807,1.83956,1.84636,1.84666,1.85505,1.87209,1.8743,1.89409,1.91412,,23.78,23.6,0.035597,0.036234,3.27E+00,-2.05E-02,3.52E-02,7.70E-03,-9.08E-04,7.53E-05,0.2857,0.2356,0.618,0.2372,0.2314,0.5461,0.0022,0.0128,2,1,1,1,88,108,555,185,3.51,A,40
H-ZF52TT,847238,1.81306,1.82033,1.83101,1.83649,1.83807,1.83956,1.84636,1.84666,1.85505,1.87209,1.8743,1.89409,1.91412,,23.78,23.6,0.035597,0.036234,3.27E+00,-2.05E-02,3.52E-02,7.70E-03,-9.08E-04,7.53E-05,0.2857,0.2356,0.618,0.2372,0.2314,0.5461,0.0022,0.0128,2,1,1,1,88,108,555,185,3.51,A,65
H-ZF62,923209,1.88192,1.89064,1.90366,1.91038,1.91231,1.91413,1.92248,1.92286,1.93323,1.95457,1.95738,1.98285,2.00928,,20.88,20.71,0.044198,0.045071,3.50E+00,-1.92E-02,5.37E-02,6.65E-03,-6.78E-04,8.33E-05,0.2824,0.2346,0.6399,0.2341,0.2301,0.5652,0.0047,0.0298,1,1,1,1,64,77,475,200,4.01,A,123
H-ZF71,808227,1.77449,1.7818,1.7925,1.79797,1.79955,1.80102,1.8078,1.8081,1.81648,1.83358,1.83582,1.85599,1.87666,,22.7,22.51,0.035602,0.036271,3.12E+00,-1.84E-02,3.95E-02,5.51E-03,-5.78E-04,6.11E-05,0.2844,0.2354,0.6296,0.2358,0.231,0.5561,0.0031,0.0225,1,1,1,1,93,105,428,275,3.3,B,184
H-ZF72A,923189,1.87807,1.88764,1.90181,1.90916,1.91127,1.91327,1.92245,1.92286,1.93429,1.958,1.96113,1.98971,2.01979,,18.9,18.74,0.048839,0.049853,3.50E+00,-2.71E-02,4.77E-02,1.10E-02,-1.32E-03,1.34E-04,0.2806,0.2341,0.6493,0.2324,0.2293,0.5733,0.0062,0.0357,1,1,1,1,67,84,484,193,3.57,A,174
H-ZF88,946179,1.89797,1.90818,1.92333,1.93122,1.93349,1.93563,1.94551,1.94595,1.95827,1.98394,1.98733,2.01845,2.05143,,17.94,17.8,0.052723,0.053845,3.58E+00,-3.04E-02,4.82E-02,1.32E-02,-1.64E-03,1.62E-04,0.2794,0.2337,0.6548,0.2314,0.2288,0.5782,0.0072,0.0396,1,1,1,1,60,73,520,202,3.52,A,128
H-LaF1,694492,1.67855,1.68226,1.68708,1.68944,1.69011,1.69073,1.6935,1.69362,1.69696,1.70354,1.70436,1.7114,1.71803,1.72957,49.19,48.9,0.0141,0.014252,2.82E+00,-1.64E-02,1.37E-02,2.48E-03,-2.59E-04,1.31E-05,0.2965,0.2369,0.5557,0.2463,0.2344,0.4937,0.0039,-0.0048,1,3,1,3,71,85,613,158,3.85,B,43
H-LaF2,717479,1.70107,1.70476,1.70997,1.71248,1.7132,1.71387,1.71687,1.717,1.72056,1.72745,1.72832,1.73584,1.74291,1.75526,47.89,47.65,0.014972,0.015122,2.87E+00,-5.71E-03,2.92E-02,-1.46E-03,2.53E-04,-1.09E-05,0.3016,0.238,0.5604,0.2512,0.2356,0.4973,-0.003,-0.0038,1,3,1,6,74,91,561,205,4.25,A,35
H-LaF3B,744449,1.7267,1.73068,1.7363,1.73906,1.73984,1.74057,1.74386,1.744,1.74794,1.75563,1.7566,1.76502,1.77298,1.78694,44.9,44.63,0.01657,0.01676,2.96E+00,-7.46E-03,2.94E-02,-7.10E-04,1.80E-04,-7.43E-06,0.2981,0.2378,0.5667,0.2482,0.2351,0.5024,-0.001,-0.0025,1,3,1,3,80,97,568,182,4.39,MA,33
H-LaF4,750350,1.72804,1.73278,1.73975,1.74319,1.74419,1.74511,1.74932,1.7495,1.75458,1.76461,1.76589,1.77717,1.78817,1.80838,34.99,34.78,0.021421,0.021697,2.96E+00,-5.58E-03,3.73E-02,-7.19E-04,2.00E-04,-2.80E-06,0.2946,0.2371,0.5863,0.2448,0.234,0.5199,-0.0022,0.0003,1,3,1,2,80,95,545,178,3.92,MA,39
H-LaF4GT,750350,1.72804,1.73278,1.73975,1.74319,1.74419,1.74511,1.74932,1.7495,1.75458,1.76461,1.76589,1.77717,1.78817,1.80838,34.99,34.78,0.021421,0.021697,2.96E+00,-5.58E-03,3.73E-02,-7.19E-04,2.00E-04,-2.80E-06,0.2946,0.2371,0.5863,0.2448,0.234,0.5199,-0.0022,0.0003,1,3,1,2,80,95,545,178,3.92,MA,39
H-LaFL5,754375,1.73306,1.7378,1.74446,1.74774,1.74867,1.74955,1.7535,1.75367,1.75842,1.76785,1.76906,1.77952,1.7897,1.80821,37.49,37.21,0.020102,0.020382,2.98E+00,-1.13E-02,3.10E-02,4.32E-04,4.82E-05,2.95E-06,0.295,0.2263,0.5805,0.2453,0.233,0.5132,0,-0.0013,1,3,1,5,70,84,576,135,3.71,B,63
H-LaF6LA,757477,1.73966,1.74392,1.74953,1.75223,1.75298,1.75369,1.75686,1.757,1.76078,1.76809,1.76901,1.77689,1.78426,1.79713,47.71,47.47,0.015866,0.016028,3.02E+00,-1.58E-02,2.28E-02,9.80E-04,-6.87E-05,4.74E-06,0.3006,0.2382,0.5546,0.2508,0.2358,0.4916,-0.0029,-0.0098,1,3,1,6,57,69,729,86,4.06,A,44
H-LaF7,782371,1.76035,1.76525,1.77216,1.77559,1.77657,1.77748,1.78161,1.78179,1.78679,1.79667,1.79793,1.80891,1.8195,1.8387,37.09,36.83,0.021077,0.021366,3.08E+00,-1.21E-02,3.13E-02,9.86E-04,-1.34E-05,5.50E-06,0.294,0.237,0.5806,0.2446,0.2338,0.5138,-0.0004,-0.0019,1,3,1,5,80,95,571,161,3.77,B,58
H-LaF10LA,788475,1.77,1.77435,1.7802,1.783,1.78379,1.78453,1.78785,1.788,1.79195,1.79959,1.80055,1.8088,1.81654,1.82996,47.49,47.26,0.016592,0.016758,3.12E+00,-1.38E-02,2.72E-02,1.41E-04,5.42E-05,-1.61E-06,0.3014,0.2381,0.5551,0.2512,0.2357,0.4923,-0.0032,-0.0097,1,3,1,3,61,77,652,100,4.3,A,47
H-LaF50B,773496,1.75542,1.75959,1.76514,1.7678,1.76854,1.76924,1.77236,1.7725,1.77621,1.78337,1.78427,1.79196,1.79915,1.81152,49.6,49.36,0.015575,0.015725,3.07E+00,-1.36E-02,2.58E-02,-1.66E-05,6.95E-05,-2.88E-06,0.3018,0.2382,0.5507,0.2518,0.2359,0.4882,-0.0029,-0.0105,1,3,1,3,58,75,770,92,4.24,MA,38
H-LaF51,700481,1.6844,1.68814,1.69319,1.69564,1.69633,1.69697,1.69987,1.7,1.70346,1.7102,1.71104,1.71835,1.72526,1.73736,48.08,47.8,0.014559,0.014717,2.83E+00,-1.14E-02,2.17E-02,3.86E-04,1.32E-05,6.84E-07,0.2995,0.2377,0.56,0.2494,0.2351,0.4969,-0.0004,-0.0038,1,4,2,3,80,94,576,175,3.82,B,37
H-LaF52,786442,1.76701,1.7715,1.77762,1.78059,1.78142,1.78221,1.78574,1.7859,1.79013,1.79837,1.79941,1.80837,1.81684,1.83164,44.19,43.93,0.017786,0.017988,3.11E+00,-1.36E-02,2.79E-02,4.60E-04,3.21E-05,-2.81E-07,0.2985,0.2378,0.5622,0.2491,0.2352,0.4981,-0.0022,-0.0082,1,3,1,2,59,72,668,,4.39,A,48
H-LaF53,743492,1.72681,1.73079,1.73616,1.73874,1.73946,1.74014,1.74317,1.7433,1.7469,1.75384,1.75471,1.76216,1.76915,1.78119,49.22,48.99,0.015101,0.015246,2.97E+00,-1.09E-02,2.65E-02,-5.16E-04,1.24E-04,-5.16E-06,0.3018,0.2384,0.551,0.2516,0.2361,0.4887,-0.003,-0.0109,1,3,1,3,55,73,698,104,4.16,MA,54
H-LaF54,800422,1.77963,1.78426,1.79072,1.79387,1.79476,1.7956,1.79935,1.79952,1.80401,1.8128,1.81391,1.82354,1.8327,1.84881,42.24,42,0.018927,0.019145,3.14E+00,-1.01E-02,3.43E-02,-8.33E-04,2.17E-04,-8.70E-06,0.2983,0.2372,0.5674,0.2486,0.2345,0.503,-0.0021,-0.0064,1,3,1,2,57,70,698,104,4.51,B,57
